	"Elements Most Often Found in Novels, Short Stories, etc."	"9 March 1880"	"Что чаще всего встречается в романах, повестях и т. п."
	"Artists' Wives"	"7 December 1880"	"Жены артистов"
	"The Trial"	"October 1881"	"Суд"
	"On the Train"	"October? 1881"	"В вагоне"
	"This and That: Four Vignettes"	"October? 1881"	"И то и сё - Поэзия и проза"
	"Sarah Bernhardt Comes to Town"	"December 1881"	"И то и сё - Письма и телеграммы"
	"Questions Posed by a Mad Mathematician"	"February? 1882"	"Задачи сумасшедшего математика"
	"Supplementary Questions for the Statistical Census, Submitted by Antosha Chekhonte"	"February? 1882"	"Дополнительные вопросы к личным картам статистической переписи, предлагаемые Антошей Чехонте"
	"Confession, or Olya, Zhenya, Zoya"	"March? 1882"	"Исповедь, или Оля, Женя, Зоя"
	"Village Doctors"	"18 June 1882"	"Сельские эскулапы"
	"A Living Chattel"	"August 1882"	"Живой товар"
	"Late-blooming Flowers"	"October-November 1882"	"Цветы запоздалые"
	"An Unsuccessful Visit"	"22 November 1882"	"Неудачный визит"
	"Life as a Series of Questions and Exclamations"	"December? 1882"	"Жизнь в вопросах и восклицаниях"
	"Bibliography"	"16 January 1883"	"Библиография"
	"A Hypnotic Seance [A Seance]"	"24 January 1883"	"На магнетическом сеансе"
	"Rapture Joy"	"January 1883"	"Радость"
	"A Lawyer's Romance: A Protocol"	"5 February 1883"	"Роман адвоката"
	"At the Barber's"	"7 February 1883"	"В цирульне"
	"Advice"	"12 February 1883"	"Совет"
	"The Cross"	"12 February 1883"	"Крест"
	"Questions and Answers"	"12 February 1883"	"Вопросы и ответы"
	"The Collection"	"18 February 1883"	"Коллекция"
	"An Incident at Law"	"17 March 1883"	"Случай из судебной практики"
	"An Enigmatic Nature"	"19 March 1883"	"Загадочная натура"
	"America in Rostov on the Don"	"21 March 1883"	"Америка в Ростове-на-Дону"
	"Heights"	"9 April 1883"	"Обер-верхи"
	"A Classical Student"	"7 May 1883"	"Случай с классиком"
	"The Cat"	"14 May 1883"	"Кот"
	"How I Came to Be Lawfully Wed"	"11 June 1883"	"О там, как я в законный брак вступил"
	"Mr. Gulevich, Writer, and the Drowned Man [one half of Something [Кое-что]]"	"June 1883"	"Г-н Гулевич (автор) и утопленник"
	"The Potato and the Tenor [one half of Something [Кое-что]]"	"June 1883"	"Картофель и тенор"
	"The Death of a Civil Servant The Death of a Government Clerk"	"2 July 1883"	"Смерть чиновника"
	"Goat or Scoundrel?"	"23 July 1883"	"Козел или негодяй"
